session_key,session_name,date_start,date_end,gmt_offset,session_type,meeting_key,location,country_key,country_code,country_name,circuit_key,circuit_short_name,year
9472,Race,2024-03-02T15:00:00+00:00,2024-03-02T17:00:00+00:00,03:00:00,Race,1229,Sakhir,36,BRN,Bahrain,63,Sakhir,2024
9480,Race,2024-03-09T17:00:00+00:00,2024-03-09T19:00:00+00:00,03:00:00,Race,1230,Jeddah,153,KSA,Saudi Arabia,149,Jeddah,2024
9488,Race,2024-03-24T04:00:00+00:00,2024-03-24T06:00:00+00:00,11:00:00,Race,1231,Melbourne,5,AUS,Australia,10,Melbourne,2024
9496,Race,2024-04-07T05:00:00+00:00,2024-04-07T07:00:00+00:00,09:00:00,Race,1232,Suzuka,4,JPN,Japan,46,Suzuka,2024
9673,Race,2024-04-21T07:00:00+00:00,2024-04-21T09:00:00+00:00,08:00:00,Race,1233,Shanghai,53,CHN,China,49,Shanghai,2024
9507,Race,2024-05-05T20:00:00+00:00,2024-05-05T22:00:00+00:00,-04:00:00,Race,1234,Miami,19,USA,United States,151,Miami,2024
9515,Race,2024-05-19T13:00:00+00:00,2024-05-19T15:00:00+00:00,02:00:00,Race,1235,Imola,13,ITA,Italy,6,Imola,2024
9523,Race,2024-05-26T13:00:00+00:00,2024-05-26T15:00:00+00:00,02:00:00,Race,1236,Monaco,114,MON,Monaco,22,Monte Carlo,2024
9531,Race,2024-06-09T18:00:00+00:00,2024-06-09T20:00:00+00:00,-04:00:00,Race,1237,Montréal,46,CAN,Canada,23,Montreal,2024
9539,Race,2024-06-23T13:00:00+00:00,2024-06-23T15:00:00+00:00,02:00:00,Race,1238,Barcelona,1,ESP,Spain,15,Catalunya,2024
9550,Race,2024-06-30T13:00:00+00:00,2024-06-30T15:00:00+00:00,02:00:00,Race,1239,Spielberg,17,AUT,Austria,19,Spielberg,2024
9558,Race,2024-07-07T14:00:00+00:00,2024-07-07T16:00:00+00:00,01:00:00,Race,1240,Silverstone,2,GBR,Great Britain,2,Silverstone,2024
9566,Race,2024-07-21T13:00:00+00:00,2024-07-21T15:00:00+00:00,02:00:00,Race,1241,Budapest,14,HUN,Hungary,4,Hungaroring,2024
9574,Race,2024-07-28T13:00:00+00:00,2024-07-28T15:00:00+00:00,02:00:00,Race,1242,Spa-Francorchamps,16,BEL,Belgium,7,Spa-Francorchamps,2024
9582,Race,2024-08-25T13:00:00+00:00,2024-08-25T15:00:00+00:00,02:00:00,Race,1243,Zandvoort,133,NED,Netherlands,55,Zandvoort,2024
9590,Race,2024-09-01T13:00:00+00:00,2024-09-01T15:00:00+00:00,02:00:00,Race,1244,Monza,13,ITA,Italy,39,Monza,2024
9598,Race,2024-09-15T11:00:00+00:00,2024-09-15T13:00:00+00:00,04:00:00,Race,1245,Baku,30,AZE,Azerbaijan,144,Baku,2024
9606,Race,2024-09-22T12:00:00+00:00,2024-09-22T14:00:00+00:00,08:00:00,Race,1246,Marina Bay,157,SGP,Singapore,61,Singapore,2024
9617,Race,2024-10-20T19:00:00+00:00,2024-10-20T21:00:00+00:00,-05:00:00,Race,1247,Austin,19,USA,United States,9,Austin,2024
9625,Race,2024-10-27T20:00:00+00:00,2024-10-27T22:00:00+00:00,-06:00:00,Race,1248,Mexico City,8,MEX,Mexico,65,Mexico City,2024
9636,Race,2024-11-03T15:30:00+00:00,2024-11-03T17:30:00+00:00,-03:00:00,Race,1249,São Paulo,10,BRA,Brazil,14,Interlagos,2024
9644,Race,2024-11-24T06:00:00+00:00,2024-11-24T08:00:00+00:00,-08:00:00,Race,1250,Las Vegas,19,USA,United States,152,Las Vegas,2024
